DATE: 2020-04-13 10:20:27 PM| Request type: Add event | Request parameters:  EventType:CONFERENCES EventID:MTLM020220bookingCapacity:2 | Request result: successfully completed | Server resonse: Event added toMTL
DATE: 2020-04-13 10:33:54 PM| Request type: Add event | Request parameters:  EventType:CONFERENCES EventID:MTLM020220bookingCapacity:2 | Request result: successfully completed | Server resonse: Event added toMTL
DATE: 2020-04-13 11:44:01 PM| Request type: Add event | Request parameters:  EventType:CONFERENCES EventID:MTLM020220bookingCapacity:2 | Request result: successfully completed | Server resonse: Event added toMTL
DATE: 2020-04-13 11:55:55 PM| Request type: Add event | Request parameters:  EventType:CONFERENCES EventID:MTLM020220bookingCapacity:2 | Request result: successfully completed | Server resonse: Event added toMTL
DATE: 2020-04-13 11:57:44 PM| Request type: Remove event | Request parameters:  EventType:CONFERENCES EventID:MTLM020220 | Request result: successfully completed | Server resonse: Event removed from serverMTL
DATE: 2020-04-14 12:15:10 AM| Request type: Add event | Request parameters:  EventType:CONFERENCES EventID:MTLM020220bookingCapacity:2 | Request result: successfully completed | Server resonse: Event added toMTL
DATE: 2020-04-14 12:22:24 AM| Request type: Add event | Request parameters:  EventType:CONFERENCES EventID:MTLM020220bookingCapacity:2 | Request result: successfully completed | Server resonse: Capacity added to event
DATE: 2020-04-14 03:09:30 PM| Request type: Add event | Request parameters:  EventType:CONFERENCES EventID:MTLM020220bookingCapacity:2 | Request result: successfully completed | Server resonse: Event added toMTL
DATE: 2020-04-14 03:11:36 PM| Request type: Add event | Request parameters:  EventType:CONFERENCES EventID:MTLM020220bookingCapacity:2 | Request result: successfully completed | Server resonse: Capacity added to event
DATE: 2020-04-14 03:14:15 PM| Request type: Add event | Request parameters:  EventType:CONFERENCES EventID:MTLM020220bookingCapacity:2 | Request result: successfully completed | Server resonse: Capacity added to event
DATE: 2020-04-14 03:18:47 PM| Request type: Add event | Request parameters:  EventType:CONFERENCES EventID:MTLM020220bookingCapacity:2 | Request result: successfully completed | Server resonse: Capacity added to event
DATE: 2020-04-14 03:19:42 PM| Request type: Add event | Request parameters:  EventType:CONFERENCES EventID:MTLM020230bookingCapacity:3 | Request result: successfully completed | Server resonse: Event added toMTL
DATE: 2020-04-14 03:28:25 PM| Request type: Add event | Request parameters:  EventType:CONFERENCES EventID:MTLM020220bookingCapacity:2 | Request result: successfully completed | Server resonse: Event added toMTL
DATE: 2020-04-14 03:28:54 PM| Request type: Remove event | Request parameters:  EventType:CONFERENCES EventID:MTLM020220 | Request result: successfully completed | Server resonse: Event removed from serverMTL
DATE: 2020-04-14 04:04:13 PM| Request type: Add event | Request parameters:  EventType:CONFERENCES EventID:MTLM020220bookingCapacity:2 | Request result: successfully completed | Server resonse: Event added toMTL
DATE: 2020-04-14 04:05:08 PM| Request type: Add event | Request parameters:  EventType:SEMINARS EventID:MTLM020220bookingCapacity:3 | Request result: successfully completed | Server resonse: Event added toMTL
DATE: 2020-04-14 04:05:25 PM| Request type: Add event | Request parameters:  EventType:CONFERENCES EventID:MTLA030330bookingCapacity:3 | Request result: successfully completed | Server resonse: Event added toMTL
