DATE: 2020-04-24 05:48:19 PM| Request type: Add event | Request parameters:  EventType:SEMINARS EventID:SHEA101020bookingCapacity:2 | Request result: successfully completed | Server resonse: Event added toSHE
DATE: 2020-04-24 05:48:55 PM| Request type: Add event | Request parameters:  EventType:TRADESHOWS EventID:SHEA111120bookingCapacity:2 | Request result: successfully completed | Server resonse: Event added toSHE
DATE: 2020-04-24 05:50:53 PM| Request type: Book an event | Request parameters:  EventType:SEMINARS EventID:SHEA101020 CustomerID:QUEC1234 | Request result: successfully completed | Server resonse: Booking request has been approved
DATE: 2020-04-24 05:51:21 PM| Request type: Book an event | Request parameters:  EventType:TRADESHOWS EventID:SHEA111120 CustomerID:QUEC1234 | Request result: successfully completed | Server resonse: Booking request has been approved
DATE: 2020-04-24 06:01:46 PM| Request type: Book an event | Request parameters:  EventType:CONFERENCES EventID:MTLE091020 CustomerID:SHEC1234 | Request result: successfully completed | Server resonse: Booking request has been approved
DATE: 2020-04-24 06:01:57 PM| Request type: Book an event | Request parameters:  EventType:CONFERENCES EventID:MTLA121020 CustomerID:SHEC1234 | Request result: successfully completed | Server resonse: Booking request has been approved
DATE: 2020-04-24 06:02:16 PM| Request type: Book an event | Request parameters:  EventType:CONFERENCES EventID:MTLA111020 CustomerID:SHEC1234 | Request result: successfully completed | Server resonse: Booking request has been approved
DATE: 2020-04-24 06:04:05 PM| Request type: Book an event | Request parameters:  EventType:CONFERENCES EventID:MTLA101020 CustomerID:SHEC1234 | Request result: failed | Server resonse: This customer has already booked 3 times from other cities!
DATE: 2020-04-24 09:26:03 PM| Request type: Book an event | Request parameters:  EventType:CONFERENCES EventID:MTLM101020 CustomerID:SHEC1234 | Request result: failed | Server resonse: There is no such an event
DATE: 2020-04-24 09:26:27 PM| Request type: Book an event | Request parameters:  EventType:CONFERENCES EventID:MTLA101020 CustomerID:SHEC1234 | Request result: successfully completed | Server resonse: Booking request has been approved
DATE: 2020-04-24 09:26:42 PM| Request type: Book an event | Request parameters:  EventType:SEMINARS EventID:MTLM111120 CustomerID:SHEC1234 | Request result: successfully completed | Server resonse: Booking request has been approved
